전직ID	중국명	한국명
101	士官	서전트
102	将军	제네럴
103	禁卫	가디언
104	大元帅	마샬
105	皇家卫士	로열 가디언
106	游击士	유격사
107	樱花无双	앵화무쌍
108	烈波无双	열파무쌍
109	蝴蝶之舞	나비의 춤
110	凤凰之舞	봉황의 춤
111	灵枪使	영력 개화
112	灵枪斗士	불굴의 파이터
113	圣枪使	할버드 전사
114	圣枪卫士	할버드 가드
115	圣枪统帅	할버드 마스터
116	斗士	투사
117	斗神	투신
118	枪之圣女	창의 성녀
119	女武神	발키리
120	诅咒骑士	커스드 나이트
121	战神丸	센진마루
122	战王丸	센오마루
123	紫晶统帅	에머시스트 마스터
124	佣兵	용병
125	星海猎手	별바다의 헌터
126	星海公主	별바다의 히로인
129	魔动战士	마동력 전사
130	魔铠斗将	마갑 대장군
131	魔铠斗将改	마갑 대장군 · 개
132	皇女	황녀
133	龙枪士	드래곤 랜서
134	漆黑皇女	칠흑의 황녀
135	遗迹少女	유적 소녀
136	功勋盾卫	공적 실드
137	翼盾元帅	아이언윙 마샬
139	守恒者	균형 수호자
140	护世天秤	수호의 저울
141	临阵新兵	결전을 앞둔 신병
142	炽鳞铁卫	화린의 철위군
143	龙火战将	화룡장군
144	肃杀猎手	한섭 미실장
145	终啼之枪	한섭 미실장
199	见习士官	견습 서전트
201	战士	파이터
202	剑士	소드맨
203	盾剑士	글래디에이터
204	剑士统帅	소드 마스터
205	皇帝	엠퍼러
206	英雄	영웅
207	剑圣	검성
208	勇者	용사
209	王者	킹
210	少尉	소위
211	修罗	수라
212	剑帝	검제
213	剑斗士	글래디에이터
214	剑斗统帅	배틀 마스터
215	盾剑统帅	가디언 마스터
216	破魔使	파마사
217	破邪剑征	파사의 혈통
218	剑姬	소드 프린세스
219	圣剑士	성검사
220	圣光之刃	성스러운 빛의 검
221	女神之刃	여신의 검
222	不良少年	불량 소년
223	灵剑使	영검술사
224	灵剑斗将	차원도 각성자
225	不良少年	불량 소년
226	皇后	엠프리스
228	魔剑士	엘프 파이터
229	精灵剑士	엘프 소드 마스터
230	灰之启动者	재의 기동자
231	灰之英雄	잿빛 영웅
232	地下守护者	지하의 수호자
233	黑色护卫	블랙 가드
234	护卫之主	실드 로드
235	炎剑使	화염검술사
236	炎剑统帅	염검의 사령관
237	龙神丸	류진마루
238	龙王丸	류오마루
239	谜之旅人	수수께끼의 여행자
240	流浪剑客	방랑 군사
241	异星末裔	크림조의 후예
242	异星剑士	크림조의 검사
243	异星复仇者	크림조의 복수자
244	武士	무사
245	烈火武士	열화무사
246	火焰神	화염신
247	皇家统帅	로열 마스터
248	皇家盾卫	로열 실드
249	武士	사무라이
250	武士之魂	무사의 혼
251	万事屋之主	해결사 리더
252	辉剑士	빛의 소드맨
253	剑术士	검술사
254	术法剑师	매직 소드 마스터
255	指挥官	지휘관
256	三星	트라이 슈테른
257	沙海之王	사막의 왕
258	光盾使	빛의 방패
259	光盾剑卫	빛의 방패 기사
260	剑之使者	검의 사자
261	剑之传承	검의 계승자
263	翼剑士	천상의 검사
264	翔空剑士	창공의 검사
265	驭空之刃	공중의 칼날
266	击剑师	검술사
267	里万事屋之主	해결사 사무소 주인
268	游击士	유격사
269	迅剑手	신속 검사
270	剑之少女	검의 소녀
271	王国公主	왕국의 공주
272	闪电公主	섬전의 공주
273	黄金雷击姬	성순검의 공주
274	魔剑士	엘프 파이터
275	神灭魔剑士	신멸 마검사
276	魔剑士	엘프 파이터
277	精灵剑士	엘프 소드 마스터
278	佣兵	용병
279	传承者	계승자
280	光之剑	빛의 검
281	天马公主	페가수스 프린세스
282	灿金之剑	휘광의 검
283	荣光仡刃	영광의 칼날
284	孤旅之锋	고독한 여정의 칼날
285	守世逆刃	세상을 수호하는 역날
286	山林独行者	산림의 독행자
287	群山守护者	뭇산의 수호자
288	凯普1号	가이버 1
289	巨人殖装	가이버 기간틱
290	巨神殖装	가이버 기간틱XD
291	凯普3号	가이버 3
292	黑色巨人殖装	블랙 가이버 기간틱
293	黑色巨神殖装	블랙 가이버 기간틱XD
294	旧日勇者	지난 날의 용사
295	屠龙统帅	드래곤 슬레이어 통솔자
296	不灭帝皇	불멸의 황제
297	处决者	처형자
299	见习战士	견습 파이터
301	骑士	나이트
302	骑士长	하이랜더
303	强袭骑士	그랜드 나이트
304	骑士统帅	나이트 마스터
